Run	LibrarySource	SampleName	Day	Replicate	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection		LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR828645	METAGENOMIC	BLS020308_1014-01	182	1	2171503434	10750017	202	1570		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR828645/SRR828645.4	SRX266274		WGS	RANDOM		PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS413351	SAMN02044682	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	39FB73AEC09502C9F97784E5016E37E4	5B0F5B4244E24191B844E0E6234C33DD
SRR828661	METAGENOMIC	BLS020309_1014-02	852	1	2460700572	12181686	202	1762		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR828661/SRR828661.4	SRX266505		WGS	RANDOM PCR		PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS413515	SAMN02044683	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	01E0E224DE275418DBFDC44BBCEE7CCF	EDAFA812F055F64070EEB44A6D6D9CF0
SRR828660	METAGENOMIC	BLS020310_1014-03	882	1	3466062046	17158723	202	2534		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR828660/SRR828660.4	SRX266506		WGS	RANDOM PCR		PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS413516	SAMN02044684	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	36A2DE42AE9D1D9ED31B9F9128D5B0A4	D4D40DF730C69B5F297D9AE9CD97F1CC
SRR829033	VIRAL RNA	BLS020813_d00-1	0	1	3039481274	15046937	202	2260		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR829033/SRR829033.4	SRX266874		WGS	RANDOM PCR		PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS413839	SAMN02044685	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	52980DA7A7C18BB9E782A0762689363C	46D47C97B6A0752CE8CD510980254E1B
SRR829867	VIRAL RNA	BLS020814_d00-2	0	2	3640108478	18020339	202	2721		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR829867/SRR829867.4	SRX266875		WGS	RANDOM PCR		PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS413840	SAMN02044686	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	778738A4B584BF5B13788934B487AC4D	20CBBFFB0703AF80983A94307EBA51F6
SRR935337	VIRAL RNA	BLS020815_d01-1	180	1	3636897082	18004441	202	2717		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935337/SRR935337.3	SRX322901		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415862	SAMN02044687	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	61FF374AAA11617396864A21048F53BB	01F3EFB69078BC341F4F3DC236547E91
SRR935339	VIRAL RNA	BLS020816_d02-1	181	1	3498991076	17321738	202	2611		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935339/SRR935339.3	SRX322902		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415863	SAMN02044688	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	3EE3E4F704272E67D123CB8D1CCBDDF4	DABD92166125E63900FFB3209DF16B53
SRR935340	VIRAL RNA	BLS020817_d03-1	182	1	2413493778	11947989	202	1797		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935340/SRR935340.3	SRX322907		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415864	SAMN02044689	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	93C23DAE2B540E2DFEEED7CCC81F3845	B6AED0BA6A89F417397E765BB8B17C39
SRR935341	VIRAL RNA	BLS020818_d03-2	182	2	2531504198	12532199	202	1879		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935341/SRR935341.3	SRX322908		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415865	SAMN02044690	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	EF1234CD4E0C046818D5FAC8939196C1	212EEC6C9F11D0BC577ECBE617E88581
SRR935342	VIRAL RNA	BLS020819_d04-1	183	1	2717830210	13454605	202	2021		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935342/SRR935342.3	SRX322910		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415866	SAMN02044691	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	8660A54B6DF8999F202808A660984E9B	AE0B7A4B2A91F950655703B8EBDD1EB1
