ID,SRR,totalNumReads,week,Time_days
d00-1,SRR829033,11582087,day0,0
d00-2,SRR829867,13927883,day0,0
d01-1,SRR935337,13840948,week1,180
d02-1,SRR935339,13325272,week1,181
d03-1,SRR935340,8813705,week1,182
d03-2,SRR935341,9509653,week1,182
d04-1,SRR935342,10144726,week1,183
d05-1,SRR829034,11307930,week1,184
d11-1,SRR935364,14052815,week2,851
d11-2,SRR935366,15579801,week2,851
d12-1,SRR935367,15904789,week2,852
d12-2,SRR935361,16546279,week2,852
d13-1,SRR935348,7987467,week2,853
d13-2,SRR935349,12378269,week2,853
d14-1,SRR935350,14400638,week2,854
d15-1,SRR935351,11034390,week2,855
d21-1,SRR935352,8121154,week3,879
d21-2,SRR935354,8211952,week3,879
d22-1,SRR935356,10434852,week3,880
d22-2,SRR935363,9560033,week3,880
d23-1,SRR935357,14408548,week3,881
d23-2,SRR935358,17175548,week3,881
d24-1,SRR935359,14223567,week3,882
d25-1,SRR935360,19112533,week3,883
