Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
DAS_Check_Bin_01_k119_158026:3-190576	Caudovirales	46.42857143	Myoviridae	41.37931034
DAS_Check_Bin_01_k119_29993:4-11111	Caudovirales	100	Unassigned	NA
DAS_Check_Bin_01_k119_45347:194-20015	Caudovirales	50	Siphoviridae	50
DAS_Check_Bin_02_k119_86274:4-31105	Caudovirales	100	Myoviridae	40
DAS_Check_Bin_03_k119_6964:6-10540	Caudovirales	100	Unassigned	40
DAS_Check_Bin_04_k119_45471:3-6042	Caudovirales	100	Siphoviridae	100
DAS_Check_Bin_05_k119_130417:3-6978	Caudovirales	100	Siphoviridae	100
DAS_Check_Bin_05_k119_142867:3-8447	Caudovirales	100	Siphoviridae	66.66666667
DAS_Check_Bin_05_k119_21561:3-26171	Caudovirales	100	Siphoviridae	85.71428571
DAS_Check_Bin_05_k119_74520:3-8293	Caudovirales	100	Unassigned	NA
DAS_Check_Bin_06_k119_148245:3-9204	Caudovirales	100	Myoviridae	100
DAS_Check_Bin_06_k119_57090:3-4666	Caudovirales	100	Myoviridae	100
DAS_Check_Bin_07_k119_159765:247-42184	Caudovirales	33.33333333	Unassigned	NA
DAS_Check_Bin_08_k119_8201:1911-10015	Caudovirales	100	Myoviridae	100
DAS_Check_Bin_09_k119_41989:3-49450	Caudovirales	100	Siphoviridae	66.66666667
DAS_Check_Bin_09_k119_69009:54323-63757	Caudovirales	100	Siphoviridae	100
DAS_Check_Bin_10_k119_90103:190-8767	Caudovirales	100	Unassigned	NA
DAS_Check_Bin_11_k119_41511:3-9519	Caudovirales	100	Siphoviridae	100
DAS_Check_Bin_12_k119_100997:3-4399	Caudovirales	100	Myoviridae	100
DAS_Check_Bin_13_k119_113569:3-4635	Caudovirales	100	Siphoviridae	66.66666667
DAS_Check_Bin_19_k119_163380:2128-16362	Caudovirales	100	Myoviridae	50
DAS_Check_Bin_19_k119_38161:3-7597	Caudovirales	100	Myoviridae	100
DAS_Check_Bin_19_k119_91042:3-12868	Caudovirales	100	Siphoviridae	100
DAS_Check_Bin_24_k119_28342:4-24390	Caudovirales	100	Unassigned	100
NODE_1_length_114607_cov_10.147007	Caudovirales	49.29577465	Siphoviridae	56.75675676
NODE_1_length_157272_cov_245.867635	Caudovirales	48.93617021	Siphoviridae	52.08333333
NODE_1_length_164730_cov_5.305092	Caudovirales	48.7804878	Unassigned	32
NODE_1_length_167064_cov_29.887916	Caudovirales	50	Siphoviridae	54
NODE_1_length_167064_cov_31.023334	Caudovirales	50	Siphoviridae	54
NODE_1_length_224519_cov_7.116856	Caudovirales	49.27536232	Myoviridae	35.29411765
NODE_1_length_291783_cov_17.309309	Caudovirales	43.47826087	Siphoviridae	46.15384615
NODE_10_length_119230_cov_6.136941	Caudovirales	48.14814815	Myoviridae	36.84210526
NODE_10_length_27385_cov_7.189535	Caudovirales	100	Siphoviridae	60
NODE_10_length_28296_cov_2.651145	Caudovirales	100	Myoviridae	50
NODE_10_length_38461_cov_14.877649	Caudovirales	48.71794872	Siphoviridae	61.11111111
NODE_10_length_44613_cov_10.908120	Caudovirales	50	Siphoviridae	87.5
NODE_10_length_51490_cov_94.297210	Caudovirales	100	Myoviridae	50
NODE_10_length_73510_cov_15.777020	Caudovirales	48.14814815	Siphoviridae	42.85714286
NODE_10_length_89511_cov_6.447550	Caudovirales	50	Siphoviridae	65.2173913
NODE_10_length_97150_cov_16.551666	Caudovirales	42.85714286	Myoviridae	36.36363636
NODE_100_length_11001_cov_2.821944	Caudovirales	100	Siphoviridae	66.66666667
NODE_100_length_11570_cov_6.581589	Caudovirales	100	Siphoviridae	100
NODE_100_length_12566_cov_3.456718	Caudovirales	100	Siphoviridae	80
NODE_100_length_14638_cov_3.049853	Caudovirales	100	Siphoviridae	100
NODE_100_length_17903_cov_4.786699	Caudovirales	100	Unassigned	NA
NODE_100_length_23018_cov_6.185472	Caudovirales	50	Unassigned	NA
NODE_100_length_23190_cov_23.457402	Caudovirales	100	Siphoviridae	82.35294118
NODE_100_length_2643_cov_5.781685	no_order_Microviridae	100	Microviridae	100
NODE_100_length_26522_cov_3.244682	Caudovirales	100	Siphoviridae	54.54545455
NODE_100_length_2868_cov_1.740846	Caudovirales	100	Unassigned	NA
NODE_100_length_5291_cov_2.474981	Caudovirales	100	Siphoviridae	60
NODE_100_length_7601_cov_3.132521	Caudovirales	100	Siphoviridae	100
NODE_101_length_11754_cov_2.194803	Caudovirales	100	Podoviridae	50
NODE_101_length_12031_cov_26.306363	Caudovirales	100	Siphoviridae	100
NODE_101_length_12740_cov_3.743082	Caudovirales	100	Siphoviridae	50
NODE_101_length_13926_cov_41.087665	Caudovirales	100	Siphoviridae	60
NODE_101_length_14580_cov_3.347470	Caudovirales	50	Siphoviridae	62.5
NODE_101_length_17827_cov_4.586484	Caudovirales	100	Siphoviridae	63.63636364
NODE_101_length_22082_cov_4.881327	Caudovirales	100	Unassigned	NA
NODE_101_length_22955_cov_9.723057	Caudovirales	100	Siphoviridae	100
NODE_101_length_25729_cov_5.228987	no_order_Phycodnaviridae	50	Phycodnaviridae	40
NODE_101_length_7566_cov_3.061244	Caudovirales	100	Siphoviridae	100
NODE_102_length_10705_cov_4.610235	Caudovirales	100	Podoviridae	50
NODE_102_length_10872_cov_24.018120	Caudovirales	100	Myoviridae	50
NODE_102_length_11701_cov_2.732183	Caudovirales	100	Unassigned	NA
NODE_102_length_14426_cov_5.746155	Caudovirales	100	Myoviridae	100
NODE_102_length_17810_cov_15.199268	Caudovirales	100	Siphoviridae	62.5
